month,minute,Glob irrad,Def_irrad,Temp,RH,Rain Fall,WD,WS
1,1215,336,202,-3.7,86.5,0,106.8,3
1,1220,351,202,-3.6,86.3,0.01,106.3,3
1,1225,342,200,-3.5,86.2,0,116.2,2.9
1,1230,336,203,-3.5,86.3,0,116.1,2.9
1,1235,325,206,-3.5,86.3,0,114,3
1,1240,327,213,-3.4,86.2,0.01,111.7,3
1,1245,320,209,-3.4,86.3,0,109.7,3
1,1250,325,204,-3.4,86.2,0,110.4,3.1
1,1255,325,195,-3.3,86.2,0.01,109.6,3
1,1300,325,195,-3.3,86.1,0.01,112.6,2.9
1,1305,327,195,-3.2,86,0,117.9,2.9
1,1310,343,202,-3.1,85.7,0.01,106.9,2.9
1,1315,344,201,-3,85.4,0,125,2.9
1,1320,345,200,-3,85.6,0.01,123.6,2.9
1,1325,340,194,-2.8,85.4,0,123.6,2.9
1,1330,335,192,-2.8,85.4,0,111.1,2.9
1,1335,332,187,-2.7,85,0.02,95,3
1,1340,328,182,-2.7,85,0,91.9,3
1,1345,320,181,-2.6,85.1,0,102.8,3
1,1350,313,177,-2.6,85,0,92.3,3.1
1,1355,303,169,-2.6,85,0,82.4,3
1,1400,302,164,-2.6,84.9,0,95.7,3
1,1405,303,162,-2.5,85,0,105.9,2.9
1,1410,284,157,-2.5,85,0,123.1,3
1,1415,283,155,-2.6,85.1,0,114.1,3
1,1420,277,156,-2.5,85,0.01,124.4,2.9
1,1425,276,160,-2.5,84.8,0,120.5,2.9
1,1430,272,158,-2.5,84.9,0,129.9,2.9
1,1435,261,150,-2.5,84.8,0,105.6,3
1,1440,254,147,-2.5,85,0,105.5,2.9
1,1445,245,150,-2.4,84.8,0,106.4,2.9
1,1450,232,144,-2.4,84.7,0.01,117.1,3
1,1455,219,135,-2.3,84.7,0,118.6,3
1,1500,220,130,-2.3,84.9,0,116.8,2.9
1,1505,211,126,-2.3,84.8,0,110,2.9
1,1510,201,124,-2.2,84.8,0,112.4,2.9
1,1515,195,121,-2.2,84.8,0,123.6,2.9
1,1520,189,117,-2.2,84.8,0.01,110.1,2.8
1,1525,180,111,-2.2,85.1,0,123.7,2.7
1,1530,176,109,-2.2,85,0,132.5,2.7
1,1535,166,104,-2.2,85,0.01,132.2,2.7
1,1540,158,100,-2.3,85.1,0,154.8,2.7
1,1545,154,99,-2.3,85.1,0.01,129.4,2.8
1,1550,144,94,-2.3,85.1,0.01,129.7,2.8
1,1555,137,87,-2.3,85.1,0,141.4,2.8
1,1600,129,82,-2.3,85,0,140.5,2.8
1,1605,123,76,-2.3,85,0,107.7,2.8
1,1610,114,70,-2.4,85,0,119.4,2.7
1,1615,104,64,-2.4,85.2,0,127.8,2.8
1,1620,96,60,-2.5,85.2,0.04,130,2.7
1,1625,88,55,-2.5,85.3,0,107.9,2.7
1,1630,79,51,-2.6,85.5,0,118.1,2.6
1,1635,70,45,-2.6,85.8,0,130.9,2.5
1,1640,64,42,-2.7,86,0,131.5,2.4
1,1645,55,37,-2.7,86.1,0,119.6,2.4
1,1650,45,32,-2.8,86.3,0,131,2.4
1,1655,39,29,-2.9,86.6,0,141.4,2.4
1,1700,29,23,-3,86.8,0,135.5,2.4
1,1705,24,19,-3.1,86.9,0,147.4,2.3
1,1710,18,15,-3.2,87,0.01,147.6,2.4
1,1715,13,12,-3.3,87.3,0,138.3,2.4
1,1720,9,9,-3.3,87.4,0,128,2.4
1,1725,6,6,-3.4,87.5,0,131.6,2.4
1,1730,4,4,-3.4,87.7,0,155.1,2.3
1,1735,2,3,-3.5,87.8,0,141.8,2.3
1,1740,1,2,-3.6,88,0.01,132.4,2.3
1,1745,1,1,-3.7,88.1,0,106,2.2
1,1750,0,0,-3.7,88.1,0,145.2,2.3
1,1755,0,0,-3.8,88.3,0,160.4,2.4
1,1800,0,0,-3.9,88.3,0,168,2.4
1,1805,0,0,-3.9,88.6,0,138.2,2.4
1,1810,0,0,-4,88.5,0,136.7,2.4
